# epoch	train_loss	precision5	NDCG5	MAP5	precision7	NDCG7	MAP7	precision10	NDCG10	MAP10
0	23.722523	 TOP-5 0.5230	0.5343	0.3958	 TOP-7: 0.5196	0.5300	0.3675	 TOP-10: 0.5211	0.5288	0.3470
New best model saved at epoch 0 with NDCG10 = 0.5288
1	23.664660	 TOP-5 0.5588	0.5645	0.4263	 TOP-7: 0.5513	0.5585	0.4000	 TOP-10: 0.5412	0.5505	0.3714
New best model saved at epoch 1 with NDCG10 = 0.5505
2	23.621006	 TOP-5 0.5767	0.5890	0.4525	 TOP-7: 0.5691	0.5816	0.4231	 TOP-10: 0.5583	0.5719	0.3933
New best model saved at epoch 2 with NDCG10 = 0.5719
3	23.550571	 TOP-5 0.6054	0.6079	0.4795	 TOP-7: 0.5954	0.6008	0.4504	 TOP-10: 0.5883	0.5950	0.4236
New best model saved at epoch 3 with NDCG10 = 0.5950
4	23.466339	 TOP-5 0.6238	0.6222	0.4986	 TOP-7: 0.6121	0.6147	0.4685	 TOP-10: 0.6000	0.6060	0.4383
New best model saved at epoch 4 with NDCG10 = 0.6060
5	23.362453	 TOP-5 0.6244	0.6289	0.5055	 TOP-7: 0.6187	0.6245	0.4787	 TOP-10: 0.6035	0.6132	0.4461
New best model saved at epoch 5 with NDCG10 = 0.6132
6	23.302753	 TOP-5 0.6287	0.6370	0.5166	 TOP-7: 0.6249	0.6330	0.4881	 TOP-10: 0.6043	0.6179	0.4513
New best model saved at epoch 6 with NDCG10 = 0.6179
7	23.290106	 TOP-5 0.6347	0.6401	0.5209	 TOP-7: 0.6295	0.6356	0.4916	 TOP-10: 0.6084	0.6205	0.4548
New best model saved at epoch 7 with NDCG10 = 0.6205
8	23.281099	 TOP-5 0.6390	0.6453	0.5279	 TOP-7: 0.6303	0.6383	0.4960	 TOP-10: 0.6114	0.6242	0.4595
New best model saved at epoch 8 with NDCG10 = 0.6242
9	23.283297	 TOP-5 0.6434	0.6497	0.5329	 TOP-7: 0.6326	0.6414	0.4999	 TOP-10: 0.6076	0.6230	0.4587
10	23.283316	 TOP-5 0.6412	0.6493	0.5316	 TOP-7: 0.6276	0.6388	0.4967	 TOP-10: 0.6081	0.6235	0.4585
11	23.287025	 TOP-5 0.6396	0.6468	0.5296	 TOP-7: 0.6272	0.6373	0.4955	 TOP-10: 0.6046	0.6204	0.4556
12	23.278837	 TOP-5 0.6363	0.6453	0.5273	 TOP-7: 0.6256	0.6368	0.4953	 TOP-10: 0.6057	0.6215	0.4563
13	23.279694	 TOP-5 0.6347	0.6435	0.5264	 TOP-7: 0.6256	0.6361	0.4954	 TOP-10: 0.6076	0.6222	0.4572
14	23.280653	 TOP-5 0.6363	0.6455	0.5276	 TOP-7: 0.6280	0.6384	0.4969	 TOP-10: 0.6068	0.6223	0.4568
15	23.276718	 TOP-5 0.6396	0.6483	0.5309	 TOP-7: 0.6245	0.6369	0.4957	 TOP-10: 0.6062	0.6224	0.4571
